iteration,max_depth,min_samples_split,criterion,f1_score,custom_cost
0,4,5,custom_cost_impurity,0.0,9844000
26,5,40,custom_cost_impurity,0.0,9844000
13,7,5,custom_cost_impurity,0.0,9844000
21,7,30,custom_cost_impurity,0.0,9844000
23,8,10,custom_cost_impurity,0.0,9844000
24,7,50,custom_cost_impurity,0.0,9844000
25,4,40,custom_cost_impurity,0.0,9844000
28,9,20,custom_cost_impurity,0.0,9844000
18,4,5,custom_cost_impurity,0.0,9844000
19,6,20,gini,0.45410628019323673,5580000
8,7,5,entropy,0.45956354300385105,5536000
2,5,50,gini,0.4678138942001274,5448000
17,8,40,entropy,0.469174834018337,5348000
16,7,50,f1_weighted_gini,0.4668351231838281,5336000
6,3,40,entropy,0.47270432313032507,5324000
4,3,5,gini,0.47270432313032507,5324000
5,6,10,f1_weighted_gini,0.46792452830188674,5280000
1,7,10,entropy,0.46925972396486826,5248000
14,10,40,gini,0.4729981378026071,5112000
15,9,5,f1_weighted_gini,0.4720048163756773,4712000
9,9,20,f1_proxy_impurity,0.499131729099479,1876000
22,8,10,f1_proxy_impurity,0.5037575757575758,1500000
29,6,50,f1_proxy_impurity,0.5008484848484849,1500000
12,4,20,f1_proxy_impurity,0.5051571120172703,1324000
11,4,5,f1_gini,0.5051521687035706,1308000
10,5,10,f1_proxy_impurity,0.5054945054945056,1256000
3,4,40,f1_gini,0.5056045790603386,1228000
27,6,10,f1_gini,0.5086105213493749,1044000
20,6,5,f1_gini,0.5078767928521044,988000
7,9,10,f1_gini,0.5091839107184375,796000
