iteration,max_depth,min_samples_split,criterion,f1_score
7,9,10,f1_gini,0.5091839107184375
27,6,10,f1_gini,0.5086105213493749
20,6,5,f1_gini,0.5078767928521044
13,7,5,f1_split_impurity,0.5061283345349675
3,4,40,f1_gini,0.5056045790603386
10,5,10,f1_proxy_impurity,0.5054945054945056
12,4,20,f1_proxy_impurity,0.5051571120172703
11,4,5,f1_gini,0.5051521687035706
0,4,5,f1_split_impurity,0.5050311451844753
18,4,5,f1_split_impurity,0.5050311451844753
21,7,30,f1_split_impurity,0.5045221217306283
23,8,10,f1_split_impurity,0.5037575757575758
22,8,10,f1_proxy_impurity,0.5037575757575758
26,5,40,f1_split_impurity,0.5028873917228105
25,4,40,f1_split_impurity,0.5028873917228105
24,7,50,f1_split_impurity,0.5008484848484849
29,6,50,f1_proxy_impurity,0.5008484848484849
9,9,20,f1_proxy_impurity,0.499131729099479
28,9,20,f1_split_impurity,0.499131729099479
14,10,40,gini,0.4729981378026071
6,3,40,entropy,0.47270432313032507
4,3,5,gini,0.47270432313032507
15,9,5,f1_weighted_gini,0.4720048163756773
1,7,10,entropy,0.46925972396486826
17,8,40,entropy,0.469174834018337
5,6,10,f1_weighted_gini,0.46792452830188674
2,5,50,gini,0.4678138942001274
16,7,50,f1_weighted_gini,0.4668351231838281
8,7,5,entropy,0.45956354300385105
19,6,20,gini,0.45410628019323673
